"Running Time", "Loss", "Compression", "Learning Rate", "Epochs", "Batch Size", "Early Stopping", "Dimensions"
3.986205101,238.6538849,0.001736111,1,10,1000,5,"[8, 4, 2, 1]"
8.678772688,14.14458084,0.003472222,1,10,1000,5,"[16, 8, 4, 2]"
6.882408619,2304.297607,0.005208333,1,10,1000,5,"[24, 12, 6, 3]"
6.251841068,31.09069633,0.001736111,1,10,1000,10,"[8, 4, 2, 1]"
7.908267498,187.3730927,0.003472222,1,10,1000,10,"[16, 8, 4, 2]"
10.78472495,148.2817078,0.005208333,1,10,1000,10,"[24, 12, 6, 3]"
6.852298975,1.418754935,0.001736111,1,10,1000,20,"[8, 4, 2, 1]"
10.11642694,5.508481503,0.003472222,1,10,1000,20,"[16, 8, 4, 2]"
10.65540934,657.6219482,0.005208333,1,10,1000,20,"[24, 12, 6, 3]"
7.792577028,0.011807277,0.001736111,1,10,100,5,"[8, 4, 2, 1]"
9.560459375,0.010920069,0.003472222,1,10,100,5,"[16, 8, 4, 2]"
12.03132105,0.010331366,0.005208333,1,10,100,5,"[24, 12, 6, 3]"
8.560654879,0.010597162,0.001736111,1,10,100,10,"[8, 4, 2, 1]"
9.516918182,0.010086452,0.003472222,1,10,100,10,"[16, 8, 4, 2]"
13.12362432,0.666570723,0.005208333,1,10,100,10,"[24, 12, 6, 3]"
7.981933117,0.011900473,0.001736111,1,10,100,20,"[8, 4, 2, 1]"
10.45474386,79.62973785,0.003472222,1,10,100,20,"[16, 8, 4, 2]"
12.64404774,0.012740528,0.005208333,1,10,100,20,"[24, 12, 6, 3]"
15.38918495,0.232525781,0.001736111,1,10,10,5,"[8, 4, 2, 1]"
17.7256968,0.022161949,0.003472222,1,10,10,5,"[16, 8, 4, 2]"
20.13481188,0.018572489,0.005208333,1,10,10,5,"[24, 12, 6, 3]"
16.2136209,9.999433517,0.001736111,1,10,10,10,"[8, 4, 2, 1]"
20.69106793,0.020272091,0.003472222,1,10,10,10,"[16, 8, 4, 2]"
23.77104497,0.168665394,0.005208333,1,10,10,10,"[24, 12, 6, 3]"
15.32330084,0.047019161,0.001736111,1,10,10,20,"[8, 4, 2, 1]"
18.90133357,0.01103247,0.003472222,1,10,10,20,"[16, 8, 4, 2]"
22.42676473,587.6871338,0.005208333,1,10,10,20,"[24, 12, 6, 3]"
12.79737139,0.679345012,0.001736111,1,50,1000,5,"[8, 4, 2, 1]"
37.17844677,0.157620341,0.003472222,1,50,1000,5,"[16, 8, 4, 2]"
10.45449543,54.717453,0.005208333,1,50,1000,5,"[24, 12, 6, 3]"
28.50424552,0.013699496,0.001736111,1,50,1000,10,"[8, 4, 2, 1]"
8.703369379,23.19370842,0.003472222,1,50,1000,10,"[16, 8, 4, 2]"
46.97929025,0.015194151,0.005208333,1,50,1000,10,"[24, 12, 6, 3]"
25.98183298,0.010780365,0.001736111,1,50,1000,20,"[8, 4, 2, 1]"
36.62117505,0.010346187,0.003472222,1,50,1000,20,"[16, 8, 4, 2]"
51.135221,0.037676282,0.005208333,1,50,1000,20,"[24, 12, 6, 3]"
24.58444262,28.67334747,0.001736111,1,50,100,5,"[8, 4, 2, 1]"
42.96005297,0.009972536,0.003472222,1,50,100,5,"[16, 8, 4, 2]"
35.90127754,6.570874214,0.005208333,1,50,100,5,"[24, 12, 6, 3]"
31.35940528,0.917052686,0.001736111,1,50,100,10,"[8, 4, 2, 1]"
44.90129828,7.143807411,0.003472222,1,50,100,10,"[16, 8, 4, 2]"
59.45104337,0.012774443,0.005208333,1,50,100,10,"[24, 12, 6, 3]"
33.98742867,102.656395,0.001736111,1,50,100,20,"[8, 4, 2, 1]"
41.67923021,0.009923029,0.003472222,1,50,100,20,"[16, 8, 4, 2]"
56.42281771,379.9004822,0.005208333,1,50,100,20,"[24, 12, 6, 3]"
12.26939774,0.013537668,0.001736111,1,50,10,5,"[8, 4, 2, 1]"
19.58888221,0.010246264,0.003472222,1,50,10,5,"[16, 8, 4, 2]"
29.96253777,0.135473818,0.005208333,1,50,10,5,"[24, 12, 6, 3]"
21.09222054,0.087516569,0.001736111,1,50,10,10,"[8, 4, 2, 1]"
23.35695672,0.155313462,0.003472222,1,50,10,10,"[16, 8, 4, 2]"
31.4237411,64.74491119,0.005208333,1,50,10,10,"[24, 12, 6, 3]"
32.04554272,10.25565434,0.001736111,1,50,10,20,"[8, 4, 2, 1]"
72.17797089,56.50218582,0.003472222,1,50,10,20,"[16, 8, 4, 2]"
111.6996388,88.33956909,0.005208333,1,50,10,20,"[24, 12, 6, 3]"
4.774431705,5.091635227,0.001736111,1,100,1000,5,"[8, 4, 2, 1]"
15.23230815,7.486895084,0.003472222,1,100,1000,5,"[16, 8, 4, 2]"
10.85791349,32.63095093,0.005208333,1,100,1000,5,"[24, 12, 6, 3]"
29.9018476,0.010080746,0.001736111,1,100,1000,10,"[8, 4, 2, 1]"
28.58755422,0.026023122,0.003472222,1,100,1000,10,"[16, 8, 4, 2]"
96.68256378,0.159521788,0.005208333,1,100,1000,10,"[24, 12, 6, 3]"
56.74967599,0.011940361,0.001736111,1,100,1000,20,"[8, 4, 2, 1]"
74.92034888,0.010546031,0.003472222,1,100,1000,20,"[16, 8, 4, 2]"
119.106251,0.025746917,0.005208333,1,100,1000,20,"[24, 12, 6, 3]"
48.32594681,6.508481979,0.001736111,1,100,100,5,"[8, 4, 2, 1]"
26.91715384,0.017736271,0.003472222,1,100,100,5,"[16, 8, 4, 2]"
53.82413602,0.015012374,0.005208333,1,100,100,5,"[24, 12, 6, 3]"
34.75663853,0.014208052,0.001736111,1,100,100,10,"[8, 4, 2, 1]"
72.2294054,1.876327515,0.003472222,1,100,100,10,"[16, 8, 4, 2]"
